Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Sun, Dec 1, 2019",3:00p,Miami Heat,109,Brooklyn Nets,106,Box Score,,17026,
"Sun, Dec 1, 2019",3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107,Box Score,,12276,
"Sun, Dec 1, 2019",3:30p,Boston Celtics,113,New York Knicks,104,Box Score,,18005,
"Sun, Dec 1, 2019",4:00p,Dallas Mavericks,114,Los Angeles Lakers,100,Box Score,,18997,
"Sun, Dec 1, 2019",5:00p,San Antonio Spurs,98,Detroit Pistons,132,Box Score,,14270,
"Sun, Dec 1, 2019",5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104,Box Score,,15427,
"Sun, Dec 1, 2019",6:00p,Golden State Warriors,96,Orlando Magic,100,Box Score,,15052,
"Sun, Dec 1, 2019",6:00p,Utah Jazz,110,Toronto Raptors,130,Box Score,,18132,
"Sun, Dec 1, 2019",10:30p,Washington Wizards,125,Los Angeles Clippers,150,Box Score,,19068,
"Mon, Dec 2, 2019",7:00p,Phoenix Suns,109,Charlotte Hornets,104,Box Score,,11221,
"Mon, Dec 2, 2019",7:00p,Utah Jazz,94,Philadelphia 76ers,103,Box Score,,20208,
"Mon, Dec 2, 2019",7:30p,Golden State Warriors,79,Atlanta Hawks,104,Box Score,,14278,
"Mon, Dec 2, 2019",8:00p,Indiana Pacers,117,Memphis Grizzlies,104,Box Score,,11919,
"Mon, Dec 2, 2019",8:00p,New York Knicks,88,Milwaukee Bucks,132,Box Score,,17385,
"Mon, Dec 2, 2019",10:00p,Chicago Bulls,113,Sacramento Kings,106,Box Score,,17257,
"Tue, Dec 3, 2019",7:00p,Detroit Pistons,127,Cleveland Cavaliers,94,Box Score,,17504,
"Tue, Dec 3, 2019",7:00p,Orlando Magic,127,Washington Wizards,120,Box Score,,13159,
"Tue, Dec 3, 2019",7:30p,Dallas Mavericks,118,New Orleans Pelicans,97,Box Score,,14664,
"Tue, Dec 3, 2019",7:30p,Miami Heat,121,Toronto Raptors,110,Box Score,OT,19800,
"Tue, Dec 3, 2019",8:30p,Houston Rockets,133,San Antonio Spurs,135,Box Score,2OT,18354,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Dec 3, 2019",9:00p,Los Angeles Lakers,105,Denver Nuggets,96,Box Score,,19658,
"Tue, Dec 3, 2019",10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,Box Score,,19068,
"Wed, Dec 4, 2019",7:00p,Golden State Warriors,91,Charlotte Hornets,106,Box Score,,14355,
"Wed, Dec 4, 2019",7:00p,Milwaukee Bucks,127,Detroit Pistons,103,Box Score,,15742,
"Wed, Dec 4, 2019",7:00p,Phoenix Suns,114,Orlando Magic,128,Box Score,,15176,
"Wed, Dec 4, 2019",7:30p,Brooklyn Nets,130,Atlanta Hawks,118,Box Score,,15694,
"Wed, Dec 4, 2019",7:30p,Miami Heat,93,Boston Celtics,112,Box Score,,19156,
"Wed, Dec 4, 2019",8:00p,Memphis Grizzlies,99,Chicago Bulls,106,Box Score,,15017,
"Wed, Dec 4, 2019",8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,Box Score,,18203,
"Wed, Dec 4, 2019",8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,Box Score,,19671,
"Wed, Dec 4, 2019",9:00p,Los Angeles Lakers,121,Utah Jazz,96,Box Score,,18306,
"Wed, Dec 4, 2019",10:00p,Sacramento Kings,116,Portland Trail Blazers,127,Box Score,,19393,
"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,113,Washington Wizards,119,Box Score,,16554,
"Thu, Dec 5, 2019",7:30p,Denver Nuggets,129,New York Knicks,92,Box Score,,18171,
"Thu, Dec 5, 2019",7:30p,Houston Rockets,119,Toronto Raptors,109,Box Score,,19800,
